# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 26 12:15:36 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
#
loc_rowid,kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass
2504,6528464,CONFIRMED,12.582298080,6.37500,1.1870e+02,0.009854,1.53,0.1027,89.83,917.0,167.41,5587.00,1.4230,0.9110
2505,7428316,FALSE POSITIVE,7.126846950,3.17900,2.0630e+02,0.014079,1.38,0.0721,86.72,941.0,185.17,6050.00,0.8960,0.9790
2506,10275766,FALSE POSITIVE,0.661749944,4.11200,2.1560e+02,0.182858,23.92,0.0161,12.16,2420.0,8123.02,6363.00,1.1980,1.2730
2507,10275766,FALSE POSITIVE,354.951180000,13.02000,4.2190e+02,0.018870,2.53,1.0664,89.95,303.0,1.99,6392.00,1.2300,1.2810
2508,6370120,FALSE POSITIVE,1.354770490,1.61800,1.4530e+02,0.010656,0.80,0.0215,87.82,1102.0,348.90,4414.00,0.6890,0.7230
2509,5642620,FALSE POSITIVE,0.493393859,1.13190,2.6470e+02,0.020860,1.40,0.0106,50.52,1505.0,1203.14,4474.00,0.6140,0.6450
2510,5209845,CONFIRMED,11.954018760,2.65600,8.5590e+02,0.029175,2.10,0.0885,88.26,525.0,17.92,4359.00,0.6590,0.6480
2511,9652649,FALSE POSITIVE,2.488830330,4.26800,5.1400e+01,0.006989,0.64,0.0338,77.98,1230.0,540.34,5615.00,0.8330,0.8270
2512,11100670,FALSE POSITIVE,20.234021900,3.67400,1.9360e+02,0.012795,0.99,0.1338,89.66,562.0,23.53,5528.00,0.7100,0.7880
2513,6129524,CONFIRMED,0.881842630,1.31170,2.4990e+02,0.014657,1.24,0.0171,84.47,1564.0,1419.46,5268.00,0.7760,0.8710
2514,5794570,CONFIRMED,5.448321078,2.22130,5.2940e+02,0.021984,2.17,0.0603,87.71,978.0,215.95,5721.00,0.9050,0.9830
2515,5794570,CONFIRMED,1.116127169,1.32350,1.0920e+02,0.010104,1.00,0.0209,82.64,1659.0,1797.63,5721.00,0.9050,0.9830
2516,5649325,FALSE POSITIVE,195.613824000,23.77700,1.6519e+03,0.043769,10.65,0.7088,88.51,467.0,11.24,5970.00,2.2290,1.2390
2517,9958387,CANDIDATE,237.787237000,10.50900,1.6277e+03,0.048997,9.91,0.7713,89.30,354.0,3.73,5185.00,1.8530,1.0800
2518,6779260,CONFIRMED,3.833087643,1.51000,4.6140e+02,0.024847,2.25,0.0460,83.58,1012.0,247.80,5397.00,0.8310,0.8780
2519,11807274,CONFIRMED,9.376637130,2.10330,1.1840e+02,0.011189,1.89,0.0922,87.60,1125.0,379.30,6237.00,1.5430,1.1870
2520,5953297,CONFIRMED,5.620061980,2.75100,1.9010e+02,0.017766,1.45,0.0577,78.72,772.0,84.01,4868.00,0.7460,0.8140
2521,7659389,CONFIRMED,3.825900500,1.80570,8.5720e+02,0.035720,3.45,0.0465,81.86,1005.0,241.25,5223.00,0.8850,0.9130
2522,9472074,CONFIRMED,0.558841234,0.79180,2.8090e+02,0.015407,1.33,0.0128,86.65,1787.0,2412.15,5151.00,0.7920,0.9030
2523,10842192,CONFIRMED,9.336481410,2.54490,8.8540e+02,0.033763,2.39,0.0747,86.38,577.0,26.22,4442.00,0.6480,0.6370
2524,2442448,CONFIRMED,76.613944600,10.22000,4.9870e+02,0.023228,2.61,0.3521,88.50,466.0,11.12,6173.00,1.0300,0.9880
2525,11197853,CANDIDATE,0.698461304,0.78870,1.3440e+02,0.010803,14.81,0.0200,85.71,5173.0,168689.02,4676.00,12.5580,2.1700
2526,9665922,FALSE POSITIVE,1.545388842,3.03700,5.2800e+01,0.006718,0.56,0.0247,84.77,1421.0,964.53,5782.00,0.7670,0.8690
2527,11283615,CONFIRMED,1.289590179,1.35410,2.8600e+02,0.015625,1.38,0.0224,86.63,1448.0,1040.23,5467.00,0.8080,0.9060
2528,7605093,CONFIRMED,0.634003002,0.92070,3.1690e+02,0.016444,1.35,0.0136,85.82,1714.0,2030.16,5226.00,0.7500,0.8400
2529,3859363,FALSE POSITIVE,1.568590480,11.59100,2.8060e+02,0.213988,23.41,0.0266,11.22,1693.0,1935.28,6248.00,1.0020,1.0080
2530,8077137,CONFIRMED,22.803025200,4.76800,6.2900e+01,0.007316,1.29,0.1622,89.53,843.0,119.60,6063.00,1.6130,1.0920
2531,12023078,FALSE POSITIVE,0.623441939,1.40530,1.2810e+02,0.044292,13.89,0.0156,32.41,3219.0,25489.88,5385.00,2.8710,1.3090
2532,6364162,FALSE POSITIVE,5.243645710,16.98400,2.7040e+02,0.216879,25.01,0.0598,21.46,1149.0,411.58,6197.00,1.0560,1.0320
2533,7463685,CONFIRMED,8.988261220,4.96000,1.6080e+02,0.014058,1.39,0.0845,81.14,864.0,131.92,5984.00,0.9060,0.9930
2534,6716021,CANDIDATE,110.755627200,6.81900,8.0670e+03,0.101746,29.64,0.5211,89.31,651.0,42.53,6525.00,2.6680,1.5360
2535,11231334,FALSE POSITIVE,4.157439220,9.57200,1.4720e+03,0.283683,96.99,0.0595,41.16,2089.0,4503.26,6529.00,3.1310,1.6230
2536,8326342,CANDIDATE,14.407903500,2.52400,3.0580e+03,0.294294,23.40,0.1077,86.12,624.0,35.81,5440.00,0.7280,0.8140
2537,6878240,CONFIRMED,135.497825600,6.76900,5.0381e+03,0.072673,6.01,0.4756,89.58,295.0,1.80,5307.00,0.7570,0.7820
2538,6878240,CONFIRMED,22.250850900,1.74500,6.1870e+02,0.025073,2.07,0.1426,89.33,539.0,20.01,5307.00,0.7570,0.7820
2539,2436378,FALSE POSITIVE,8.531619170,2.95960,6.5744e+04,0.499969,54.60,0.0819,87.10,891.0,148.92,5780.00,1.0000,1.0000
2540,6614629,FALSE POSITIVE,0.526615152,1.05820,6.4000e+01,0.007299,1.46,0.0133,89.59,2959.0,18152.32,5718.00,1.8320,1.1310
2541,6630943,FALSE POSITIVE,0.690405794,1.74070,1.7840e+02,0.012128,1.04,0.0138,84.65,1731.0,2129.33,5204.00,0.7860,0.7360
2542,4831728,CONFIRMED,10.107737890,3.82800,2.9490e+02,0.015476,1.98,0.0889,89.57,879.0,140.75,5480.00,1.1740,0.9150
2543,4831728,CANDIDATE,7.095639500,3.46500,1.0810e+02,0.009348,1.20,0.0702,89.78,989.0,225.73,5480.00,1.1740,0.9150
2544,3336765,FALSE POSITIVE,1.844857057,1.65570,8.5600e+01,0.008855,0.97,0.0288,85.12,1601.0,1548.86,6143.00,1.0040,0.9310
2545,4270565,FALSE POSITIVE,18.011676400,6.00600,4.1720e+02,0.019852,2.02,0.1354,87.75,695.0,55.07,6003.00,0.9320,1.0190
2546,6528464,CONFIRMED,33.672806580,8.22670,1.7090e+02,0.011948,1.86,0.1979,89.41,661.0,45.09,5587.00,1.4230,0.9110
2547,11963206,CONFIRMED,3.009124910,2.22800,1.9140e+02,0.012546,1.22,0.0410,89.95,1177.0,452.27,5713.00,0.8930,1.0100
2548,4249611,CANDIDATE,79.245035100,5.38200,1.3473e+03,0.033253,3.33,0.3479,90.00,404.0,6.33,5648.00,0.9170,0.8920
2549,8263545,CONFIRMED,4.445895080,2.38160,4.4140e+02,0.020568,1.94,0.0521,86.18,1063.0,302.60,5918.00,0.8650,0.9560
2550,10068024,FALSE POSITIVE,2.023126394,1.27710,7.2200e+01,0.007962,0.92,0.0321,88.01,1607.0,1582.75,6349.00,1.0590,1.0770
2551,9636563,FALSE POSITIVE,10.636095040,3.48000,2.9060e+02,0.015415,1.36,0.0914,89.93,728.0,66.50,5546.00,0.8100,0.9070
2552,6937402,CONFIRMED,10.310823200,5.61700,2.0400e+02,0.012975,1.27,0.0917,89.47,786.0,90.10,5708.00,0.8930,0.9670
2553,5475641,FALSE POSITIVE,1.069842837,5.27500,5.4030e+02,0.020633,1.77,0.0186,89.95,1433.0,998.07,4999.00,0.7860,0.7520
2554,2853828,FALSE POSITIVE,1.077467951,2.11250,7.5700e+01,0.188607,31.06,0.0215,23.59,2339.0,7064.38,6329.00,1.5080,1.1350
2555,7899070,CANDIDATE,126.445127500,16.71510,3.2525e+03,0.051738,4.49,0.4725,89.96,321.0,2.51,5613.00,0.7950,0.8880
2556,4035667,FALSE POSITIVE,2.873646700,1.68200,2.1570e+02,0.018689,6.47,0.0501,73.92,2866.0,15977.28,8173.00,3.1690,2.0320
2557,9612825,FALSE POSITIVE,2.846517614,4.22800,2.1544e+03,0.053662,1.88,0.0269,69.93,528.0,18.32,3468.00,0.3200,0.3200
2558,7826659,CONFIRMED,211.032819000,7.11900,1.9534e+03,0.045770,3.43,0.6266,89.69,215.0,0.50,4658.00,0.6860,0.7430
2559,7202957,CONFIRMED,1.716828304,2.06800,5.9500e+01,0.007546,0.74,0.0280,81.38,1455.0,1056.84,5808.00,0.9020,0.9870
2560,5513893,FALSE POSITIVE,0.755103143,2.88500,4.3800e+01,0.006402,1.49,0.0174,67.25,2927.0,17302.11,5996.00,2.1280,1.2260
2561,10514430,FALSE POSITIVE,20.719272230,4.03880,2.2460e+02,0.014853,2.51,0.1475,88.43,818.0,105.78,5729.00,1.5450,0.9940
2562,8095441,CONFIRMED,11.874576640,1.97970,2.2070e+02,0.013737,1.32,0.0986,89.41,728.0,66.33,5523.00,0.8800,0.9070
2563,5881813,CONFIRMED,109.646994800,6.56800,8.9970e+02,0.030575,4.85,0.4382,89.45,428.0,7.95,5332.00,1.4530,0.9320
2564,12456601,CONFIRMED,15.645886560,3.95900,5.7210e+02,0.021809,2.18,0.1229,89.94,710.0,60.08,5896.00,0.9160,1.0080
2565,10341917,FALSE POSITIVE,0.933752410,6.35200,5.1800e+02,0.035786,3.18,0.0182,21.91,1594.0,1528.26,5402.00,0.8150,0.9310
2566,3241604,FALSE POSITIVE,1.703364960,1.70450,3.1670e+02,0.016745,1.67,0.0279,85.69,1484.0,1151.45,5881.00,0.9150,1.0020
2567,9591070,FALSE POSITIVE,0.764174368,2.34600,1.0020e+02,0.009622,1.18,0.0174,72.83,2241.0,5972.52,6321.00,1.1250,1.2070
2568,8227661,FALSE POSITIVE,1.853739240,1.81600,3.4860e+02,0.017860,0.23,0.0134,85.29,345.0,3.36,2661.00,0.1160,0.0940
2569,7428736,CONFIRMED,7.063219270,2.41100,2.0720e+02,0.013550,1.21,0.0656,88.31,827.0,110.22,5305.00,0.8180,0.7530
2570,5817986,FALSE POSITIVE,0.584310213,2.18010,8.0940e+02,0.240239,23.09,0.0136,26.10,2053.0,4190.91,5783.00,0.8800,0.9770
2571,11129258,CONFIRMED,25.384175000,3.57600,5.9400e+02,0.022465,2.44,0.1728,89.74,649.0,42.01,6137.00,0.9940,1.0670
2572,10586004,CONFIRMED,15.791965940,7.27720,2.0310e+02,0.012882,2.40,0.1328,89.89,910.0,161.97,5758.00,1.7040,1.2510
2573,4939533,CANDIDATE,5.772071770,2.60500,3.2850e+02,0.016375,1.54,0.0625,89.94,915.0,165.58,5591.00,0.8600,0.9770
2574,4846856,CANDIDATE,46.151253000,5.34600,6.4900e+02,0.024756,2.08,0.2261,89.21,423.0,7.59,5204.00,0.7690,0.7230
2575,7202957,CONFIRMED,8.167338510,3.33700,1.0490e+02,0.010408,1.03,0.0791,86.03,865.0,132.43,5808.00,0.9020,0.9870
2576,6521045,CONFIRMED,12.815904210,6.38560,2.2050e+02,0.014067,2.26,0.1090,87.40,939.0,183.68,5788.00,1.4740,1.0500
2577,5790807,FALSE POSITIVE,79.996233280,6.33390,2.4384e+04,0.149796,40.73,0.4352,89.64,717.0,62.49,6796.00,2.4900,1.7150
2578,8892303,CONFIRMED,5.424749327,1.13900,7.6800e+03,0.079794,5.15,0.0504,89.98,625.0,36.05,4137.00,0.5910,0.5800
2579,10265602,CANDIDATE,165.344704400,3.09000,4.8990e+03,0.078728,6.98,0.5468,89.77,301.0,1.93,5594.00,0.8120,0.7980
2580,5369827,CONFIRMED,3.606940379,1.04180,4.3230e+02,0.022221,2.04,0.0453,86.68,1046.0,283.23,5508.00,0.8400,0.9550
2581,5302643,FALSE POSITIVE,69.200231200,5.67900,2.2715e+03,0.326968,45.24,0.3576,87.85,585.0,27.66,7044.00,1.2670,1.2910
2582,6586746,CONFIRMED,6.264047740,2.39000,3.7870e+02,0.017429,1.55,0.0615,89.33,809.0,101.27,5032.00,0.8170,0.7890
2583,9962455,CONFIRMED,23.198585200,9.82100,2.2470e+02,0.013623,2.61,0.1595,89.00,793.0,93.34,5416.00,1.7560,1.0040
2584,9962455,CONFIRMED,5.777212590,2.46200,1.3430e+02,0.011293,2.17,0.0631,87.00,1260.0,596.37,5416.00,1.7560,1.0040
2585,8687088,FALSE POSITIVE,0.905037231,1.43510,3.7500e+01,0.005694,1.10,0.0193,86.01,2627.0,11199.46,6223.00,1.7630,1.1590
2586,6436029,CONFIRMED,59.496900900,5.40400,1.2621e+03,0.032075,2.92,0.2769,89.71,369.0,4.36,4817.00,0.8330,0.8000
2587,6197215,CONFIRMED,10.613453330,0.98290,1.5020e+02,0.011648,1.77,0.0953,89.57,987.0,224.63,5865.00,1.3880,1.0230
2588,9451706,CONFIRMED,48.630380500,7.08050,3.3980e+02,0.016784,2.48,0.2791,89.96,590.0,28.60,6075.00,1.3520,1.2250
2589,9244508,CONFIRMED,40.528988500,10.60400,3.6070e+02,0.017565,5.92,0.2866,89.34,933.0,178.81,6443.00,3.0860,1.9070
2590,9692557,FALSE POSITIVE,0.571940563,0.90310,5.4300e+01,0.007523,1.88,0.0137,75.36,3320.0,28727.59,5827.00,2.2860,1.0470
2591,9366886,FALSE POSITIVE,0.633514386,1.27920,1.7910e+02,0.012020,0.81,0.0122,86.49,1357.0,807.27,4330.00,0.6180,0.6100
2592,3657176,FALSE POSITIVE,17.416614300,2.44500,3.1420e+02,0.016603,1.84,0.1337,89.42,723.0,64.73,5946.00,1.0170,1.0460
2593,3969687,CONFIRMED,16.358348200,9.85800,1.1640e+02,0.011577,2.23,0.1404,81.83,959.0,200.10,6133.00,1.7650,1.3770
2594,9369366,FALSE POSITIVE,36.005441400,3.26200,1.1750e+02,0.010730,3.33,0.2617,89.26,1024.0,259.71,7048.00,2.8380,1.8400
2595,6716545,CONFIRMED,13.909354400,6.76500,8.6800e+01,0.008521,1.33,0.1179,89.52,928.0,175.14,6052.00,1.4240,1.1280
2596,4552729,CANDIDATE,97.446319400,6.76500,2.1411e+03,0.040740,3.05,0.3729,89.97,283.0,1.52,4735.00,0.6860,0.7300
2597,2989706,FALSE POSITIVE,1.257689465,0.83990,9.4560e+02,0.028494,2.45,0.0215,89.02,1513.0,1244.66,5676.00,0.7870,0.8400
2598,5185897,CONFIRMED,4.081411554,2.32390,1.7190e+02,0.014433,1.00,0.0438,82.74,755.0,77.00,4498.00,0.6350,0.6980
2599,5185897,CONFIRMED,11.419419280,3.30750,1.5050e+02,0.014247,0.99,0.0871,85.38,536.0,19.47,4498.00,0.6350,0.6980
2600,5185897,CONFIRMED,6.834406740,2.27260,1.7710e+02,0.014584,1.01,0.0618,85.83,636.0,38.68,4498.00,0.6350,0.6980
2601,3663173,CANDIDATE,174.636181000,15.67900,2.5009e+03,0.045604,11.12,0.6700,89.97,481.0,12.65,5974.00,2.2320,1.3130
2602,9881077,CONFIRMED,24.400437800,2.98700,8.6050e+02,0.033526,2.47,0.1441,88.30,437.0,8.64,4583.00,0.6740,0.6690
2603,3097346,FALSE POSITIVE,4.029810359,3.33160,1.1110e+02,0.009822,1.77,0.0516,86.92,1479.0,1132.21,5929.00,1.6510,1.1270
2604,5717567,FALSE POSITIVE,1.287622419,0.82100,3.6500e+01,0.006268,0.87,0.0247,83.34,1957.0,3450.59,6170.00,1.2740,1.2080
2605,6265792,CONFIRMED,0.935115863,1.61720,6.4800e+01,0.007380,1.05,0.0193,86.81,2124.0,4811.82,5874.00,1.2970,1.0960
2606,9995402,CONFIRMED,3.575514290,2.36400,9.2800e+01,0.008876,0.89,0.0431,87.45,1061.0,299.19,5213.00,0.9170,0.8320
2607,9109857,CANDIDATE,1.791877025,1.16600,4.6100e+01,0.006353,1.48,0.0303,87.87,2223.0,5787.99,6002.00,2.1390,1.1560
2608,5609593,CONFIRMED,136.205112000,5.56800,1.2093e+03,0.031899,2.35,0.4626,89.83,248.0,0.89,4648.00,0.6750,0.7110
2609,5436338,CONFIRMED,6.309220430,1.32510,6.9120e+02,0.023605,1.37,0.0540,89.82,606.0,31.73,4380.00,0.5300,0.5240
2610,11414465,CONFIRMED,2.941942960,2.05600,2.7800e+02,0.014790,1.22,0.0363,89.85,988.0,225.15,4901.00,0.7580,0.7330
2611,6716545,CANDIDATE,145.881936000,11.34200,1.5690e+02,0.011555,1.80,0.5648,89.80,424.0,7.63,6052.00,1.4240,1.1280
2612,2708885,FALSE POSITIVE,1.146934644,1.72470,2.5620e+02,0.014751,1.39,0.0204,85.14,1554.0,1382.04,5423.00,0.8620,0.8620
2613,6612284,FALSE POSITIVE,1.245353252,2.15200,2.2420e+02,0.014124,1.48,0.0230,82.20,1704.0,1996.55,5982.00,0.9600,1.0470
2614,10586004,CONFIRMED,82.200123900,10.62700,2.3390e+02,0.013819,2.57,0.3988,90.00,525.0,17.96,5758.00,1.7040,1.2510
2615,4483138,CONFIRMED,15.362605200,3.73600,4.6830e+02,0.019326,1.80,0.1126,89.54,608.0,32.23,5011.00,0.8510,0.8060
2616,9475552,CONFIRMED,0.843379985,1.44740,3.4330e+02,0.018150,1.70,0.0163,78.23,1541.0,1329.99,4818.00,0.8560,0.8090
2617,9475552,CONFIRMED,6.566069410,1.84550,4.0240e+02,0.019524,1.83,0.0640,88.08,777.0,86.27,4818.00,0.8560,0.8090
2618,8292840,CONFIRMED,10.495663030,4.73560,1.0610e+02,0.009480,1.34,0.0958,89.46,1009.0,244.59,6214.00,1.2970,1.0590
2619,5196864,CANDIDATE,2.503432790,1.53400,1.1560e+03,0.220575,20.23,0.0333,73.60,1147.0,408.12,5174.00,0.8400,0.7820
2620,11071200,CANDIDATE,96.456219800,11.19500,9.5050e+02,0.030816,9.10,0.4921,89.01,727.0,65.96,7029.00,2.7040,1.7040
2621,11071200,CANDIDATE,44.564383100,7.87400,3.6050e+02,0.019632,5.80,0.2941,88.00,940.0,184.67,7029.00,2.7040,1.7040
2622,10905911,CONFIRMED,1.341556420,1.64620,5.8200e+01,0.006995,0.74,0.0234,87.56,1642.0,1715.26,5779.00,0.9700,0.9450
2623,3545135,CONFIRMED,8.482992820,2.50500,6.9100e+01,0.007876,0.80,0.0798,88.50,879.0,141.04,5827.00,0.9330,0.9400
2624,6964929,CONFIRMED,0.665025941,1.75420,1.0470e+02,0.009533,1.11,0.0153,80.48,2174.0,5246.66,5884.00,1.0700,1.0700
2625,6432345,CONFIRMED,234.635652000,6.96500,8.6850e+02,0.026459,2.56,0.7097,89.99,267.0,1.20,5422.00,0.8850,0.8670
2626,8703129,CANDIDATE,253.374581000,22.88900,1.1040e+03,0.029630,19.25,1.0077,89.98,555.0,22.41,5177.00,5.9490,2.1220
2627,11565924,CONFIRMED,13.321914610,6.21300,1.3350e+02,0.011586,2.88,0.1284,85.72,1299.0,672.06,6995.00,2.2740,1.5840
2628,6607357,CONFIRMED,7.699944660,4.43200,7.0900e+01,0.007635,0.92,0.0750,89.92,969.0,208.61,5727.00,1.1040,0.9460
2629,6607357,CONFIRMED,4.774660430,3.80400,5.4300e+01,0.006682,0.81,0.0545,89.82,1137.0,395.06,5727.00,1.1040,0.9460
2630,9451706,CONFIRMED,29.393371610,7.04450,3.2700e+02,0.016963,2.50,0.1995,88.95,698.0,55.98,6075.00,1.3520,1.2250
2631,6186964,CONFIRMED,2.164570593,1.28620,5.2510e+02,0.021060,1.27,0.0273,88.44,783.0,88.91,3941.00,0.5540,0.5780
2632,5471202,FALSE POSITIVE,12.425834300,28.11710,4.4940e+02,0.025397,2.75,0.1072,50.49,830.0,111.92,6185.00,0.9910,1.0600
2633,9640439,FALSE POSITIVE,0.873227249,0.79480,2.2180e+02,0.013885,1.68,0.0188,89.05,2152.0,5053.02,6341.00,1.1110,1.1540
2634,9693006,CONFIRMED,2.888785830,2.97700,4.0900e+01,0.005802,0.84,0.0415,88.09,1423.0,969.05,5696.00,1.3310,1.1390
2635,6837283,CANDIDATE,21.118165300,9.73400,1.1270e+02,0.010310,2.89,0.1691,86.90,1110.0,359.11,6461.00,2.5660,1.4430
2636,5613821,CANDIDATE,5.060922820,2.58600,7.1600e+01,0.009874,0.98,0.0565,80.02,998.0,234.93,5637.00,0.9110,0.9390
2637,6627507,FALSE POSITIVE,7.374533360,3.74500,3.0440e+02,0.159773,87.08,0.0897,70.73,1654.0,1770.84,5028.00,4.9910,1.7660
2638,5128673,CONFIRMED,87.972422700,14.63800,8.6670e+02,0.026755,3.39,0.3859,89.98,446.0,9.37,5837.00,1.1590,0.9880
2639,6690836,CONFIRMED,0.568874717,1.21770,3.7840e+02,0.017496,1.49,0.0128,89.23,1796.0,2473.19,5223.00,0.7800,0.8890
2640,8639908,CANDIDATE,0.910020582,1.79560,3.5810e+02,0.019204,1.12,0.0151,72.62,1127.0,380.16,4297.00,0.5330,0.5500
2641,5481148,FALSE POSITIVE,22.023514000,1.93200,1.6700e+03,0.046850,4.79,0.1531,88.70,639.0,39.45,5860.00,0.9360,0.9860
2642,11076400,CANDIDATE,1.078084920,0.85510,1.5560e+02,0.011362,1.01,0.0190,88.24,1417.0,951.61,4906.00,0.8140,0.7830
2643,7877978,CONFIRMED,56.573231800,4.18800,6.8850e+02,0.031776,2.69,0.2633,88.76,356.0,3.79,4701.00,0.7750,0.7580
2644,7903086,FALSE POSITIVE,1.846861455,1.66050,6.4860e+02,0.023754,2.23,0.0293,86.43,1337.0,753.40,5591.00,0.8600,0.9770
2645,12024120,CONFIRMED,3.568099612,3.21310,9.8400e+01,0.009350,1.36,0.0473,85.83,1407.0,926.89,6007.00,1.3340,1.1070
2646,8210018,CONFIRMED,132.995550300,7.43600,1.2754e+03,0.034912,2.51,0.4498,89.61,241.0,0.80,4523.00,0.6590,0.6870
2647,3642289,CONFIRMED,6.002548291,4.16280,2.0200e+02,0.015656,2.33,0.0697,79.39,1209.0,504.79,6204.00,1.3600,1.2570
2648,3642289,CONFIRMED,11.448658230,4.95300,7.5200e+01,0.008892,1.32,0.1072,85.42,975.0,213.39,6204.00,1.3600,1.2570
2649,3662838,CONFIRMED,24.854665040,9.18200,7.7620e+02,0.027585,7.61,0.1992,87.08,1095.0,339.33,6967.00,2.5270,1.7000
2650,5966322,CONFIRMED,60.928188660,6.33360,7.5560e+02,0.024899,2.78,0.2897,89.99,467.0,11.28,5638.00,1.0230,0.8710
2651,6029239,CONFIRMED,8.512037736,2.18610,5.9780e+02,0.022246,2.14,0.0810,89.99,839.0,117.11,5767.00,0.8810,0.9790
2652,12106929,FALSE POSITIVE,5.937205570,4.88200,3.7140e+02,0.023700,1.84,0.0595,71.23,894.0,150.81,5857.00,0.7120,0.8020
2653,12107021,FALSE POSITIVE,5.937199820,3.95000,1.7560e+02,0.013146,1.47,0.0663,84.56,1059.0,297.14,6102.00,1.0260,1.0990
2654,8248939,FALSE POSITIVE,1.633454020,3.81700,3.5900e+02,0.208715,24.87,0.0274,30.59,1750.0,2211.18,6283.00,1.0910,1.0190
2655,12404954,CONFIRMED,3.247548814,2.51460,2.0970e+02,0.013203,1.41,0.0442,88.14,1181.0,460.67,5703.00,0.9750,1.0910
2656,1571511,FALSE POSITIVE,14.022451457,8.08619,2.0083e+04,0.130221,14.93,0.1143,89.27,810.0,101.92,6061.00,1.0500,1.0120
2657,2438070,FALSE POSITIVE,2.442945167,4.01450,6.7790e+02,0.245548,38.29,0.0353,45.36,1587.0,1499.89,5657.00,1.4280,0.9830
2658,3747262,FALSE POSITIVE,1.312459403,1.45900,3.6900e+01,0.006013,1.65,0.0262,81.26,2824.0,15018.33,6543.00,2.5070,1.3880
2659,10190075,CANDIDATE,11.191619900,2.10000,1.6640e+02,0.014113,1.47,0.0970,87.36,782.0,88.34,5646.00,0.9560,0.9700
2660,9070666,CONFIRMED,2.997929260,4.39800,4.5400e+01,0.006238,1.12,0.0425,85.24,1616.0,1611.51,5888.00,1.6450,1.1360
2661,3642335,CONFIRMED,60.866097400,4.39700,7.1430e+02,0.024307,1.39,0.2465,90.00,244.0,0.84,3808.00,0.5220,0.5390
2662,3328052,FALSE POSITIVE,2.115478540,3.66500,2.2290e+02,0.014846,1.66,0.0332,75.93,1521.0,1264.56,6208.00,1.0240,1.0860
2663,10749059,CANDIDATE,174.731515000,8.25700,1.1799e+03,0.030591,3.00,0.5732,89.99,287.0,1.60,5201.00,0.8970,0.8200
2664,9119568,FALSE POSITIVE,5.548679980,4.66500,6.8900e+01,0.007428,0.68,0.0577,89.40,882.0,143.26,5258.00,0.8350,0.8310
2665,9119568,FALSE POSITIVE,1.221740630,7.44300,3.2200e+01,0.005074,0.46,0.0210,89.85,1461.0,1081.50,5258.00,0.8350,0.8310
2666,9020114,CONFIRMED,3.484128740,1.42200,1.6160e+02,0.011556,1.16,0.0453,89.68,1132.0,389.41,5696.00,0.9210,1.0220
2667,6196457,CONFIRMED,13.748830590,6.09680,4.2590e+02,0.019908,3.63,0.1174,87.19,975.0,213.84,5862.00,1.6700,1.1420
2668,7668416,CANDIDATE,0.858546796,1.10000,1.0610e+02,0.009355,0.88,0.0167,87.65,1671.0,1846.35,5269.00,0.8640,0.8430
2669,6029239,CANDIDATE,5.518195000,1.81000,2.7100e+01,0.004772,0.46,0.0607,89.39,969.0,208.54,5767.00,0.8810,0.9790
2670,6063220,CONFIRMED,4.603575293,2.34990,4.4040e+02,0.018677,1.51,0.0503,89.05,810.0,101.65,4783.00,0.7410,0.8050
2671,6071903,CONFIRMED,24.307843230,2.60540,6.7710e+02,0.023893,2.14,0.1594,89.63,532.0,18.87,5313.00,0.8200,0.9130
2672,6289257,CONFIRMED,19.674097030,3.75350,2.0490e+02,0.015780,1.78,0.1440,87.05,711.0,60.37,6023.00,1.0310,1.0270
2673,10905239,CONFIRMED,3.487688776,3.83661,1.2988e+03,0.032422,5.64,0.0461,89.79,1445.0,1033.07,5576.00,1.5930,1.0740
2674,11623629,CONFIRMED,81.737872000,6.69230,6.2880e+02,0.022652,2.16,0.3539,89.99,385.0,5.20,5559.00,0.8730,0.8820
2675,3545478,CANDIDATE,75.112213200,4.94580,3.7515e+03,0.063426,23.23,0.4156,89.37,777.0,86.18,6201.00,3.3540,1.6940
2676,4815520,CONFIRMED,31.578651216,2.12791,2.1254e+03,0.041835,4.52,0.1949,89.98,570.0,24.94,5733.00,0.9900,0.9870
2677,6603043,FALSE POSITIVE,110.321672720,13.36240,7.2966e+03,0.084131,18.60,0.5820,89.20,761.0,79.11,9244.00,2.0250,2.1580
2678,7175184,CONFIRMED,5.885273640,1.95310,1.1270e+02,0.010194,1.59,0.0653,88.06,1253.0,583.47,6070.00,1.4310,1.0720
